,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time
2021-01-01,0,33,0.0,1.0,0,0,0,32
2021-02-01,0,33,0.0,1.0,0,0,0,32
2021-03-01,0,33,0.0,1.0,0,0,0,32
2021-04-01,0,33,0.0,1.0,0,0,0,32
2021-05-01,3,36,3.0,4.0,0,0,0,32
2021-06-01,0,36,0.0,4.0,0,0,0,32
2021-07-01,0,36,0.0,4.0,0,0,0,32
2021-08-01,0,36,0.0,4.0,0,0,0,32
2021-09-01,1,37,1.0,5.0,0,0,0,32
2021-10-01,0,37,0.0,5.0,0,0,0,32
2021-11-01,0,37,0.0,5.0,0,0,0,32
2021-12-01,0,37,0.0,5.0,0,0,0,32
2021-01-13,0,37,0.0,5.0,0,0,0,32
2021-01-14,0,37,0.0,5.0,0,0,0,32
2021-01-15,0,37,0.0,5.0,0,0,0,32
2021-01-16,0,37,0.0,5.0,0,0,0,32
2021-01-17,0,37,,,0,0,0,32
2021-01-18,0,37,0.0,4.0,0,0,1,33
2021-01-19,0,37,0.0,4.0,0,0,0,33
2021-01-20,0,37,0.0,4.0,0,0,0,33
2021-01-21,0,37,0.0,4.0,0,0,0,33
2021-01-22,0,37,0.0,4.0,0,0,0,33
2021-01-23,0,37,0.0,4.0,0,0,0,33
2021-01-24,0,37,,,0,0,0,33
2021-01-25,0,37,0.0,4.0,0,0,0,33
2021-01-26,0,37,0.0,4.0,0,0,0,33
2021-01-27,0,37,,,0,0,0,33
2021-01-28,1,38,73.0,77.0,0,0,0,33
2021-01-29,76,114,0.0,76.0,0,0,1,34
2021-01-30,98,212,108.0,184.0,0,0,0,34
2021-01-31,13,225,9.0,193.0,0,0,0,34
2021-01-02,17,242,14.0,207.0,0,0,0,34
2021-02-02,19,261,21.0,228.0,0,0,0,34
2021-03-02,16,277,0.0,0.0,0,0,0,34
2021-04-02,38,315,52.0,280.0,0,0,0,34
2021-05-02,12,327,12.0,292.0,0,0,0,34
2021-06-02,0,327,1.0,293.0,0,0,3,37
2021-07-02,19,346,16.0,309.0,0,0,0,37
