,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time
2021-01-01,0,20,0.0,0.0,0,0,0,20
2021-01-02,2,22,2.0,2.0,0,0,0,20
2021-01-03,0,22,0.0,2.0,0,0,0,20
2021-01-04,0,22,0.0,2.0,0,0,0,20
2021-01-05,0,22,0.0,2.0,0,0,0,20
2021-01-06,0,22,0.0,2.0,0,0,0,20
2021-01-07,0,22,0.0,2.0,0,0,0,20
2021-01-08,0,22,0.0,2.0,0,0,0,20
2021-01-09,0,22,0.0,2.0,0,0,0,20
2021-01-10,0,22,0.0,2.0,0,0,0,20
2021-01-11,0,22,0.0,2.0,0,0,0,20
2021-01-12,0,22,0.0,2.0,0,0,0,20
2021-01-13,0,22,0.0,2.0,0,0,0,20
2021-01-14,0,22,0.0,2.0,0,0,0,20
2021-01-15,0,22,0.0,2.0,0,0,0,20
2021-01-16,0,22,0.0,2.0,0,0,0,20
2021-01-17,0,22,,,0,0,0,20
2021-01-18,0,22,0.0,2.0,0,0,0,20
2021-01-19,0,22,0.0,2.0,0,0,0,20
2021-01-20,0,22,0.0,2.0,0,0,0,20
2021-01-21,0,22,0.0,2.0,0,0,0,20
2021-01-22,0,22,0.0,2.0,0,0,0,20
2021-01-23,0,22,0.0,2.0,0,0,0,20
2021-01-24,0,22,,,0,0,0,20
2021-01-25,0,22,0.0,2.0,0,0,0,20
2021-01-26,0,22,0.0,1.0,0,0,1,21
2021-01-27,0,22,,,0,0,0,21
2021-01-28,1,23,13.0,14.0,0,0,0,21
2021-01-29,15,38,3.0,17.0,0,0,0,21
2021-01-30,6,44,5.0,22.0,0,0,1,22
2021-01-31,3,47,3.0,25.0,0,0,0,22
2021-02-01,5,52,5.0,30.0,0,0,0,22
2021-02-02,8,60,8.0,38.0,0,0,0,22
2021-02-03,4,64,0.0,0.0,0,0,0,22
2021-02-04,2,66,5.0,43.0,0,0,0,22
2021-02-05,2,68,2.0,45.0,0,0,0,22
2021-02-06,1,69,2.0,47.0,0,0,0,22
2021-02-07,0,69,0.0,47.0,0,0,0,22
2021-02-08,3,72,3.0,50.0,0,0,0,22
2021-02-09,3,75,3.0,53.0,0,0,0,22
2021-02-10,1,76,4.0,57.0,0,0,0,22
2021-02-11,5,81,2.0,59.0,0,0,0,22
2021-02-12,0,81,0.0,59.0,0,0,0,22
2021-02-13,0,81,0.0,59.0,0,0,0,22
2021-02-14,0,81,0.0,59.0,0,0,0,22
2021-02-15,0,81,0.0,59.0,0,0,0,22
2021-02-16,1,82,0.0,58.0,0,0,2,24
2021-02-17,0,82,0.0,54.0,0,0,4,28
2021-02-18,0,82,0.0,47.0,0,0,7,35
2021-02-19,0,82,0.0,47.0,0,0,0,35
2021-02-20,0,82,0.0,47.0,0,0,0,35
2021-02-21,0,82,0.0,46.0,0,0,1,36
2021-02-22,0,82,0.0,46.0,0,0,0,36
2021-02-23,1,83,1.0,47.0,0,0,0,36
2021-02-24,0,83,0.0,32.0,0,0,15,51
2021-02-25,0,83,0.0,29.0,0,0,3,54
2021-02-26,0,83,0.0,29.0,0,0,0,54
2021-02-27,0,83,0.0,29.0,0,0,0,54
2021-02-28,0,83,0.0,29.0,0,0,0,54
2021-03-01,0,83,0.0,28.0,0,0,1,55
2021-03-02,0,83,0.0,28.0,0,0,0,55
2021-03-03,0,83,0.0,28.0,0,0,0,55
2021-03-04,0,83,0.0,28.0,0,0,0,55
2021-03-05,0,83,0.0,28.0,0,0,0,55
2021-03-06,0,83,0.0,28.0,0,0,0,55
2021-03-07,0,83,0.0,28.0,0,0,0,55
2021-03-08,0,83,0.0,28.0,0,0,0,55
2021-03-09,0,83,0.0,28.0,0,0,0,55
2021-03-10,0,83,0.0,28.0,0,0,0,55
2021-03-11,0,83,0.0,23.0,0,0,5,60
2021-03-12,1,84,0.0,23.0,0,0,1,61
2021-03-13,0,84,0.0,23.0,0,0,0,61
2021-03-14,0,84,0.0,23.0,0,0,0,61
2021-03-15,0,84,0.0,23.0,0,0,0,61
2021-03-16,0,84,0.0,23.0,0,0,0,61
2021-03-17,0,84,0.0,20.0,0,0,3,64
2021-03-18,0,84,0.0,20.0,0,0,0,64
2021-03-19,0,84,0.0,20.0,0,0,0,64
2021-03-20,0,84,0.0,20.0,0,0,0,64
2021-03-21,0,84,,,0,0,0,64
2021-03-22,0,84,0.0,18.0,0,0,2,66
2021-03-23,0,84,0.0,18.0,0,0,0,66
2021-03-24,0,84,0.0,16.0,0,0,2,68
2021-03-25,0,84,0.0,16.0,0,0,0,68
2021-03-26,0,84,0.0,16.0,0,0,0,68
2021-03-27,0,84,0.0,13.0,0,0,3,71
2021-03-28,0,84,0.0,13.0,0,0,0,71
2021-03-29,0,84,0.0,13.0,0,0,0,71
2021-03-30,0,84,0.0,13.0,0,0,0,71
2021-03-31,0,84,0.0,13.0,0,0,0,71
2021-04-01,0,84,0.0,13.0,0,0,0,71
2021-04-02,1,85,1.0,14.0,0,0,0,71
2021-04-03,0,85,0.0,14.0,0,0,0,71
2021-04-04,0,85,0.0,14.0,0,0,0,71
2021-04-05,0,85,0.0,14.0,0,0,0,71
2021-04-06,0,85,0.0,13.0,0,0,1,72
2021-04-07,0,85,0.0,13.0,0,0,0,72
2021-04-08,0,85,0.0,13.0,0,0,0,72
2021-04-09,0,85,0.0,13.0,0,0,0,72
