,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time
2021-01-01,0,7,0.0,2.0,0,0,0,5
2021-01-02,0,7,0.0,2.0,0,0,0,5
2021-01-03,0,7,0.0,2.0,0,0,0,5
2021-01-04,0,7,0.0,2.0,0,0,0,5
2021-01-05,0,7,0.0,2.0,0,0,0,5
2021-01-06,0,7,0.0,2.0,0,0,0,5
2021-01-07,0,7,0.0,2.0,0,0,0,5
2021-01-08,1,8,1.0,3.0,0,0,0,5
2021-01-09,0,8,0.0,3.0,0,0,0,5
2021-01-10,0,8,0.0,3.0,0,0,0,5
2021-01-11,0,8,0.0,3.0,0,0,0,5
2021-01-12,0,8,0.0,3.0,0,0,0,5
2021-01-13,0,8,0.0,3.0,0,0,0,5
2021-01-14,0,8,0.0,3.0,0,0,0,5
2021-01-15,0,8,0.0,3.0,0,0,0,5
2021-01-16,0,8,0.0,3.0,0,0,0,5
2021-01-17,0,8,,,0,0,0,5
2021-01-18,0,8,0.0,3.0,0,0,0,5
2021-01-19,0,8,0.0,3.0,0,0,0,5
2021-01-20,0,8,0.0,3.0,0,0,0,5
2021-01-21,0,8,0.0,3.0,0,0,0,5
2021-01-22,0,8,0.0,3.0,0,0,0,5
2021-01-23,0,8,0.0,3.0,0,0,0,5
2021-01-24,0,8,,,0,0,0,5
2021-01-25,0,8,0.0,3.0,0,0,0,5
2021-01-26,0,8,0.0,3.0,0,0,0,5
2021-01-27,0,8,,,0,0,0,5
2021-01-28,0,8,0.0,3.0,0,0,0,5
2021-01-29,0,8,0.0,0.0,0,0,3,8
2021-01-30,0,8,0.0,0.0,0,0,0,8
2021-01-31,0,8,0.0,0.0,0,0,0,8
2021-02-01,0,8,0.0,0.0,0,0,0,8
2021-02-02,0,8,0.0,0.0,0,0,0,8
2021-02-03,0,8,0.0,0.0,0,0,0,8
2021-02-04,0,8,0.0,0.0,0,0,0,8
2021-02-05,0,8,0.0,0.0,0,0,0,8
2021-02-06,0,8,0.0,0.0,0,0,0,8
2021-02-07,0,8,0.0,0.0,0,0,0,8
2021-02-08,0,8,0.0,0.0,0,0,0,8
2021-02-09,0,8,0.0,0.0,0,0,0,8
2021-02-10,0,8,0.0,0.0,0,0,0,8
2021-02-11,0,8,0.0,0.0,0,0,0,8
2021-02-12,0,8,0.0,0.0,0,0,0,8
2021-02-13,0,8,0.0,0.0,0,0,0,8
2021-02-14,0,8,0.0,0.0,0,0,0,8
2021-02-15,0,8,0.0,0.0,0,0,0,8
2021-02-16,0,8,0.0,0.0,0,0,0,8
2021-02-17,0,8,0.0,0.0,0,0,0,8
2021-02-18,0,8,0.0,0.0,0,0,0,8
2021-02-19,0,8,0.0,0.0,0,0,0,8
2021-02-20,0,8,0.0,0.0,0,0,0,8
2021-02-21,0,8,0.0,0.0,0,0,0,8
2021-02-22,0,8,0.0,0.0,0,0,0,8
2021-02-23,0,8,0.0,0.0,0,0,0,8
2021-02-24,0,8,0.0,0.0,0,0,0,8
2021-02-25,0,8,0.0,0.0,0,0,0,8
2021-02-26,0,8,0.0,0.0,0,0,0,8
2021-02-27,0,8,0.0,0.0,0,0,0,8
2021-02-28,0,8,0.0,0.0,0,0,0,8
2021-03-01,0,8,0.0,0.0,0,0,0,8
2021-03-02,0,8,0.0,0.0,0,0,0,8
2021-03-03,0,8,0.0,0.0,0,0,0,8
2021-03-04,0,8,0.0,0.0,0,0,0,8
2021-03-05,0,8,0.0,0.0,0,0,0,8
2021-03-06,0,8,0.0,0.0,0,0,0,8
2021-03-07,0,8,0.0,0.0,0,0,0,8
2021-03-08,0,8,0.0,0.0,0,0,0,8
2021-03-09,0,8,0.0,0.0,0,0,0,8
2021-03-10,0,8,0.0,0.0,0,0,0,8
2021-03-11,0,8,0.0,0.0,0,0,0,8
2021-03-12,0,8,0.0,0.0,0,0,0,8
2021-03-13,0,8,0.0,0.0,0,0,0,8
2021-03-14,0,8,0.0,0.0,0,0,0,8
2021-03-15,0,8,0.0,0.0,0,0,0,8
2021-03-16,0,8,0.0,0.0,0,0,0,8
2021-03-17,0,8,0.0,0.0,0,0,0,8
2021-03-18,0,8,0.0,0.0,0,0,0,8
2021-03-19,0,8,0.0,0.0,0,0,0,8
2021-03-20,0,8,0.0,0.0,0,0,0,8
2021-03-21,0,8,,,0,0,0,8
2021-03-22,0,8,0.0,0.0,0,0,0,8
2021-03-23,0,8,0.0,0.0,0,0,0,8
2021-03-24,0,8,0.0,0.0,0,0,0,8
2021-03-25,0,8,0.0,0.0,0,0,0,8
2021-03-26,0,8,0.0,0.0,0,0,0,8
2021-03-27,0,8,0.0,0.0,0,0,0,8
2021-03-28,0,8,0.0,0.0,0,0,0,8
2021-03-29,0,8,0.0,0.0,0,0,0,8
2021-03-30,0,8,0.0,0.0,0,0,0,8
2021-03-31,0,8,0.0,0.0,0,0,0,8
2021-04-01,0,8,0.0,0.0,0,0,0,8
2021-04-02,0,8,0.0,0.0,0,0,0,8
2021-04-03,0,8,0.0,0.0,0,0,0,8
2021-04-04,0,8,0.0,0.0,0,0,0,8
2021-04-05,0,8,0.0,0.0,0,0,0,8
2021-04-06,0,8,0.0,0.0,0,0,0,8
2021-04-07,0,8,0.0,0.0,0,0,0,8
2021-04-08,0,8,0.0,0.0,0,0,0,8
2021-04-09,0,8,0.0,0.0,0,0,0,8
2021-04-10,0,8,0.0,0.0,0,0,0,8
2021-04-11,0,8,0.0,0.0,0,0,0,8
2021-04-12,0,8,0.0,0.0,0,0,0,8
2021-04-13,0,8,0.0,0.0,0,0,0,8
2021-04-14,0,8,0.0,0.0,0,0,0,8
2021-04-15,0,8,0.0,0.0,0,0,0,8
2021-04-16,0,8,0.0,0.0,0,0,0,8
2021-04-17,0,8,0.0,0.0,0,0,0,8
2021-04-18,0,8,0.0,0.0,0,0,0,8
2021-04-19,0,8,0.0,0.0,0,0,0,8
2021-04-20,0,8,0.0,0.0,0,0,0,8
2021-04-21,0,8,0.0,0.0,0,0,0,8
2021-04-22,0,8,0.0,0.0,0,0,0,8
2021-04-23,0,8,0.0,0.0,0,0,0,8
2021-04-24,0,8,0.0,0.0,0,0,0,8
2021-04-25,0,8,0.0,0.0,0,0,0,8
2021-04-26,0,8,0.0,0.0,0,0,0,8
2021-04-27,0,8,0.0,0.0,0,0,0,8
2021-04-28,0,8,0.0,0.0,0,0,0,8
2021-04-29,0,8,0.0,0.0,0,0,0,8
2021-04-30,0,8,0.0,0.0,0,0,0,8
2021-05-01,0,8,0.0,0.0,0,0,0,8
2021-05-02,0,8,0.0,0.0,0,0,0,8
2021-05-03,0,8,0.0,0.0,0,0,0,8
2021-05-04,0,8,0.0,0.0,0,0,0,8
2021-05-05,0,8,0.0,0.0,0,0,0,8
2021-05-06,0,8,0.0,0.0,0,0,0,8
2021-05-07,0,8,0.0,0.0,0,0,0,8
2021-05-08,0,8,0.0,0.0,0,0,0,8
2021-05-09,0,8,0.0,0.0,0,0,0,8
2021-05-10,0,8,0.0,0.0,0,0,0,8
2021-05-11,0,8,0.0,0.0,0,0,0,8
2021-05-12,0,8,0.0,0.0,0,0,0,8
2021-05-13,0,8,0.0,0.0,0,0,0,8
2021-05-14,0,8,0.0,0.0,0,0,0,8
2021-05-15,0,8,0.0,0.0,0,0,0,8
2021-05-16,0,8,0.0,0.0,0,0,0,8
2021-05-17,0,8,0.0,0.0,0,0,0,8
2021-05-18,0,8,0.0,0.0,0,0,0,8
2021-05-19,0,8,0.0,0.0,0,0,0,8
2021-05-20,0,8,0.0,0.0,0,0,0,8
2021-05-21,0,8,0.0,0.0,0,0,0,8
2021-05-22,0,8,0.0,0.0,0,0,0,8
2021-05-23,0,8,0.0,0.0,0,0,0,8
2021-05-24,0,8,0.0,0.0,0,0,0,8
2021-05-25,0,8,0.0,0.0,0,0,0,8
2021-05-26,0,8,0.0,0.0,0,0,0,8
2021-05-27,0,8,0.0,0.0,0,0,0,8
2021-05-28,0,8,0.0,0.0,0,0,0,8
2021-05-29,0,8,0.0,0.0,0,0,0,8
2021-05-30,0,8,0.0,0.0,0,0,0,8
2021-05-31,1,9,1.0,1.0,0,0,0,8
2021-06-01,1,10,1.0,2.0,0,0,0,8
2021-06-02,0,10,0.0,2.0,0,0,0,8
2021-06-03,0,10,0.0,2.0,0,0,0,8
2021-06-04,0,10,0.0,2.0,0,0,0,8
2021-06-05,0,10,0.0,2.0,0,0,0,8
2021-06-06,0,10,0.0,2.0,0,0,0,8
2021-06-07,0,10,0.0,2.0,0,0,0,8
2021-06-08,0,10,0.0,2.0,0,0,0,8
2021-06-09,0,10,0.0,2.0,0,0,0,8
2021-06-10,0,10,0.0,2.0,0,0,0,8
2021-06-11,0,10,0.0,2.0,0,0,0,8
2021-06-12,0,11,0.0,2.0,0,0,0,8
2021-06-13,0,11,0.0,2.0,0,0,0,8
2021-06-14,0,11,0.0,2.0,0,0,0,8
2021-06-15,0,11,0.0,2.0,0,0,0,8
2021-06-16,0,11,0.0,2.0,0,0,0,8
2021-06-17,0,11,0.0,2.0,0,0,0,8
2021-06-18,0,11,0.0,2.0,0,0,0,8
2021-06-19,0,11,0.0,2.0,0,0,0,8
2021-06-20,0,11,0.0,2.0,0,0,0,8
2021-06-21,1,11,0.0,2.0,0,0,0,8
2021-06-22,0,11,,,0,0,0,8
2021-06-23,5,16,8.0,10.0,0,0,0,8
2021-06-24,0,16,0.0,10.0,0,0,0,8
2021-06-25,0,16,0.0,10.0,0,0,0,8
2021-06-26,0,16,0.0,10.0,0,0,0,8
2021-06-27,0,16,0.0,10.0,0,0,0,8
2021-06-28,0,16,0.0,10.0,0,0,0,8
2021-06-29,1,17,0.0,9.0,0,0,0,8
2021-06-30,0,17,0.0,9.0,0,0,0,8
2021-07-01,0,17,0.0,9.0,0,0,0,8
2021-07-02,1,18,1.0,10.0,0,0,0,8
2021-07-03,0,18,2.0,12.0,0,0,0,8
2021-07-04,0,18,1.0,13.0,0,0,0,8
2021-07-05,1,19,12.0,25.0,0,0,0,8
2021-07-06,0,19,2.0,27.0,0,0,0,8
2021-07-07,12,31,1.0,28.0,0,0,0,8
2021-07-08,0,31,2.0,30.0,0,0,0,8
2021-07-09,0,31,8.0,38.0,0,0,0,8
2021-07-10,8,39,4.0,42.0,0,0,0,8
2021-07-11,0,39,2.0,44.0,0,0,0,8
2021-07-12,7,46,8.0,52.0,0,0,0,8
2021-07-13,2,48,3.0,55.0,0,0,0,8
2021-07-14,0,48,2.0,57.0,0,0,0,8
2021-07-15,0,48,3.0,60.0,0,0,0,8
2021-07-16,3,51,2.0,62.0,0,0,0,8
2021-07-17,0,51,15.0,77.0,0,0,0,8
2021-07-18,0,51,0.0,77.0,0,0,0,8
2021-07-19,0,51,7.0,84.0,0,0,0,8
2021-07-20,38,89,0.0,84.0,0,0,0,8
2021-07-21,0,89,10.0,94.0,0,0,0,8
2021-07-22,0,89,18.0,112.0,0,0,0,8
2021-07-23,39,128,6.0,118.0,0,0,0,8
2021-07-24,0,128,17.0,135.0,0,0,0,8
2021-07-25,27,155,26.0,161.0,0,0,0,8
2021-07-26,13,168,16.0,177.0,1,1,0,8
2021-07-27,3,171,38.0,215.0,0,1,0,8
