,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time
2021-01-01,5,26,5.0,14.0,0,0,0,12
2021-01-02,0,26,0.0,14.0,0,0,0,12
2021-01-03,0,26,0.0,14.0,0,0,0,12
2021-01-04,0,26,0.0,14.0,0,0,0,12
2021-01-05,0,26,0.0,14.0,0,0,0,12
2021-01-06,1,27,0.0,13.0,0,0,2,14
2021-01-07,0,27,0.0,13.0,0,0,0,14
2021-01-08,0,27,0.0,13.0,0,0,0,14
2021-01-09,0,27,0.0,13.0,0,0,0,14
2021-01-10,0,27,0.0,13.0,0,0,0,14
2021-01-11,0,27,0.0,13.0,0,0,0,14
2021-01-12,0,27,0.0,13.0,0,0,0,14
2021-01-13,0,27,0.0,12.0,0,0,1,15
2021-01-14,1,28,1.0,13.0,0,0,0,15
2021-01-15,0,28,0.0,9.0,0,0,3,18
2021-01-16,0,28,0.0,9.0,0,0,0,18
2021-01-17,0,28,,,0,0,0,18
2021-01-18,0,28,0.0,8.0,0,0,2,20
2021-01-19,0,28,0.0,8.0,0,0,0,20
2021-01-20,0,28,0.0,8.0,0,0,0,20
2021-01-21,0,28,0.0,6.0,0,0,2,22
2021-01-22,0,28,0.0,6.0,0,0,0,22
2021-01-23,0,28,0.0,6.0,0,0,0,22
2021-01-24,0,28,,,0,0,0,22
2021-01-25,0,28,0.0,5.0,0,0,1,23
2021-01-26,0,28,0.0,5.0,0,0,0,23
2021-01-27,0,28,,,0,0,0,23
2021-01-28,0,28,0.0,5.0,0,0,0,23
2021-01-29,0,28,0.0,2.0,0,0,3,26
2021-01-30,0,28,0.0,2.0,0,0,0,26
2021-01-31,2,30,2.0,4.0,0,0,0,26
2021-02-01,1,31,1.0,5.0,0,0,0,26
2021-02-02,0,31,2.0,7.0,0,0,0,26
2021-02-03,2,33,0.0,0.0,0,0,0,26
2021-02-04,1,34,1.0,8.0,0,0,0,26
2021-02-05,0,34,0.0,8.0,0,0,0,26
2021-02-06,1,35,1.0,9.0,0,0,0,26
2021-02-07,0,35,0.0,8.0,0,0,1,27
2021-02-08,0,35,0.0,8.0,0,0,0,27
2021-02-09,0,35,0.0,8.0,0,0,0,27
2021-02-10,0,35,0.0,8.0,0,0,0,27
2021-02-11,0,35,0.0,8.0,0,0,0,27
2021-02-12,0,35,0.0,8.0,0,0,0,27
2021-02-13,0,35,0.0,8.0,0,0,0,27
2021-02-14,0,35,0.0,8.0,0,0,0,27
2021-02-15,0,35,0.0,8.0,0,0,0,27
2021-02-16,0,35,0.0,8.0,0,0,0,27
2021-02-17,0,35,0.0,8.0,0,0,0,27
2021-02-18,0,35,0.0,8.0,0,0,0,27
2021-02-19,0,35,0.0,8.0,0,0,0,27
2021-02-20,0,35,0.0,8.0,0,0,0,27
2021-02-21,0,35,0.0,8.0,0,0,0,27
2021-02-22,0,35,0.0,8.0,0,0,0,27
2021-02-23,0,35,0.0,8.0,0,0,0,27
2021-02-24,0,35,0.0,7.0,0,0,1,28
2021-02-25,0,35,0.0,7.0,0,0,0,28
2021-02-26,0,35,0.0,6.0,0,0,1,29
2021-02-27,0,35,0.0,6.0,0,0,0,29
2021-02-28,0,35,0.0,6.0,0,0,0,29
2021-03-01,0,35,0.0,6.0,0,0,0,29
2021-03-02,0,35,0.0,6.0,0,0,0,29
2021-03-03,1,36,1.0,7.0,0,0,0,29
2021-03-04,0,36,0.0,4.0,0,0,3,32
2021-03-05,1,37,1.0,5.0,0,0,0,32
2021-03-06,0,37,0.0,5.0,0,0,0,32
2021-03-07,0,37,0.0,5.0,0,0,0,32
2021-03-08,1,38,1.0,6.0,0,0,0,32
2021-03-09,0,38,0.0,5.0,0,0,1,33
2021-03-10,0,38,0.0,5.0,0,0,0,33
2021-03-11,2,40,0.0,5.0,0,0,2,35
2021-03-12,1,41,1.0,6.0,0,0,0,35
2021-03-13,0,41,0.0,6.0,0,0,0,35
2021-03-14,0,41,0.0,6.0,0,0,0,35
2021-03-15,0,41,0.0,5.0,0,0,1,36
2021-03-16,0,41,0.0,4.0,0,0,1,37
2021-03-17,0,41,0.0,4.0,0,0,0,37
2021-03-18,0,41,0.0,4.0,0,0,0,37
2021-03-19,0,41,0.0,4.0,0,0,0,37
2021-03-20,0,41,0.0,4.0,0,0,0,37
2021-03-21,0,41,,,0,0,0,37
2021-03-22,0,41,0.0,3.0,0,0,1,38
2021-03-23,0,41,0.0,3.0,0,0,0,38
2021-03-24,0,41,0.0,3.0,0,0,0,38
2021-03-25,0,41,0.0,3.0,0,0,0,38
2021-03-26,1,42,1.0,4.0,0,0,0,38
2021-03-27,0,42,0.0,3.0,0,0,1,39
2021-03-28,0,42,0.0,3.0,0,0,0,39
2021-03-29,0,42,0.0,3.0,0,0,0,39
2021-03-30,0,42,0.0,3.0,0,0,0,39
2021-03-31,0,42,0.0,3.0,0,0,0,39
2021-04-01,0,42,0.0,3.0,0,0,0,39
2021-04-02,0,42,0.0,3.0,0,0,0,39
2021-04-03,0,42,0.0,3.0,0,0,0,39
2021-04-04,0,42,0.0,3.0,0,0,0,39
2021-04-05,0,42,0.0,3.0,0,0,0,39
2021-04-06,0,42,0.0,3.0,0,0,0,39
2021-04-07,2,44,1.0,4.0,0,0,1,40
2021-04-08,0,44,0.0,4.0,0,0,0,40
2021-04-09,0,44,0.0,4.0,0,0,0,40
2021-04-10,0,44,0.0,4.0,0,0,0,40
2021-04-11,0,44,0.0,4.0,0,0,0,40
2021-04-12,0,44,0.0,4.0,0,0,0,40
2021-04-13,0,44,0.0,4.0,0,0,0,40
2021-04-14,0,44,0.0,4.0,0,0,0,40
2021-04-15,0,44,0.0,4.0,0,0,0,40
2021-04-16,0,44,0.0,3.0,0,0,1,41
2021-04-17,0,44,0.0,3.0,0,0,0,41
2021-04-18,0,44,0.0,3.0,0,0,0,41
2021-04-19,0,44,0.0,3.0,0,0,0,41
2021-04-20,0,44,0.0,2.0,0,0,1,42
2021-04-21,0,44,0.0,2.0,0,0,0,42
2021-04-22,0,44,0.0,2.0,0,0,0,42
2021-04-23,0,44,0.0,2.0,0,0,0,42
2021-04-24,0,44,0.0,1.0,0,0,1,43
2021-04-25,0,44,0.0,1.0,0,0,0,43
2021-04-26,0,44,0.0,1.0,0,0,0,43
2021-04-27,0,44,0.0,1.0,0,0,0,43
2021-04-28,0,44,0.0,1.0,0,0,0,43
2021-04-29,0,44,0.0,1.0,0,0,0,43
2021-04-30,0,44,0.0,1.0,0,0,0,43
2021-05-01,0,44,0.0,0.0,0,0,1,44
