,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time
2021-01-01,0,150,0.0,6.0,0,0,0,144
2021-01-02,0,150,0.0,6.0,0,0,0,144
2021-01-03,0,150,0.0,6.0,0,0,0,144
2021-01-04,2,152,2.0,8.0,0,0,0,144
2021-01-05,1,153,1.0,9.0,0,0,0,144
2021-01-06,0,153,0.0,9.0,0,0,0,144
2021-01-07,0,153,0.0,9.0,0,0,0,144
2021-01-08,0,153,0.0,9.0,0,0,0,144
2021-01-09,0,153,0.0,9.0,0,0,0,144
2021-01-10,0,153,0.0,9.0,0,0,0,144
2021-01-11,1,154,1.0,10.0,0,0,0,144
2021-01-12,0,154,0.0,10.0,0,0,0,144
2021-01-13,0,154,0.0,10.0,0,0,0,144
2021-01-14,2,156,2.0,12.0,0,0,0,144
2021-01-15,2,158,1.0,13.0,0,0,2,146
2021-01-16,0,158,0.0,13.0,0,0,0,146
2021-01-17,0,158,,,0,0,0,146
2021-01-18,0,158,0.0,10.0,0,0,2,148
2021-01-19,0,158,0.0,10.0,0,0,0,148
2021-01-20,4,162,4.0,14.0,0,0,0,148
2021-01-21,0,162,0.0,13.0,0,0,1,149
2021-01-22,1,163,1.0,14.0,0,0,0,149
2021-01-23,0,163,2.0,16.0,0,0,0,149
2021-01-24,0,163,,,0,0,0,149
2021-01-25,0,163,0.0,15.0,0,0,1,150
2021-01-26,2,165,0.0,15.0,0,0,2,152
2021-01-27,0,165,,,0,0,0,152
2021-01-28,1,166,1.0,16.0,0,0,0,152
2021-01-29,0,166,0.0,15.0,0,0,1,153
2021-01-30,2,168,2.0,17.0,0,0,0,153
2021-01-31,0,168,0.0,17.0,0,0,0,153
2021-02-01,1,169,0.0,14.0,0,0,2,155
2021-02-02,0,169,0.0,14.0,0,0,0,155
2021-02-03,0,169,0.0,0.0,0,0,0,155
2021-02-04,0,169,0.0,14.0,0,0,0,155
2021-02-05,0,169,0.0,14.0,0,0,0,155
2021-02-06,1,170,1.0,15.0,0,0,0,155
2021-02-07,0,170,0.0,14.0,0,0,1,156
2021-02-08,29,199,29.0,43.0,0,0,0,156
2021-02-09,4,203,5.0,48.0,0,0,1,157
2021-02-10,2,205,0.0,46.0,0,0,5,162
2021-02-11,0,205,0.0,43.0,0,0,0,162
2021-02-12,0,205,0.0,43.0,0,0,1,163
2021-02-13,6,211,6.0,49.0,0,0,0,163
2021-02-14,0,211,0.0,48.0,0,0,0,163
2021-02-15,0,211,0.0,46.0,0,0,3,166
2021-02-16,0,211,0.0,46.0,0,0,0,166
2021-02-17,0,211,0.0,46.0,0,0,0,166
2021-02-18,0,211,0.0,43.0,0,0,2,168
2021-02-19,0,211,0.0,43.0,0,0,0,168
2021-02-20,0,211,0.0,43.0,0,0,0,168
2021-02-21,0,211,0.0,43.0,0,0,0,168
2021-02-22,0,211,0.0,43.0,0,0,0,168
2021-02-23,0,211,0.0,43.0,0,0,0,168
2021-02-24,0,211,0.0,17.0,0,0,26,194
2021-02-25,0,211,0.0,16.0,0,0,1,195
2021-02-26,0,211,0.0,15.0,0,0,1,196
2021-02-27,0,211,0.0,12.0,0,0,4,200
2021-02-28,0,211,0.0,12.0,0,0,0,200
2021-03-01,0,211,0.0,9.0,0,0,3,203
2021-03-02,0,211,0.0,9.0,0,0,0,203
2021-03-03,0,211,0.0,9.0,0,0,0,203
2021-03-04,0,211,0.0,6.0,0,0,2,205
2021-03-05,0,211,0.0,6.0,0,0,0,205
2021-03-06,0,211,0.0,6.0,0,0,0,205
2021-03-07,0,211,0.0,6.0,0,0,0,205
2021-03-08,3,214,3.0,9.0,0,0,0,205
2021-03-09,0,214,0.0,6.0,0,0,3,208
2021-03-10,1,215,1.0,7.0,0,0,0,208
2021-03-11,0,215,0.0,7.0,0,0,0,208
2021-03-12,0,215,0.0,6.0,0,0,1,209
2021-03-13,0,215,0.0,6.0,0,0,0,209
2021-03-14,1,216,1.0,7.0,0,0,0,209
2021-03-15,0,216,0.0,6.0,0,0,1,210
2021-03-16,0,216,0.0,6.0,0,0,0,210
2021-03-17,0,216,0.0,6.0,0,0,0,210
2021-03-18,0,216,0.0,6.0,0,0,0,210
2021-03-19,1,217,1.0,7.0,0,0,0,210
2021-03-20,0,217,0.0,7.0,0,0,0,210
2021-03-21,0,217,,,0,0,0,210
2021-03-22,1,218,1.0,8.0,0,0,0,210
2021-03-23,0,218,0.0,7.0,0,0,1,211
2021-03-24,0,218,0.0,7.0,0,0,0,211
2021-03-25,1,219,1.0,8.0,0,0,0,211
2021-03-26,1,220,1.0,9.0,0,0,0,211
2021-03-27,0,220,0.0,9.0,0,0,0,211
2021-03-28,0,220,0.0,9.0,0,0,0,211
2021-03-29,1,221,1.0,10.0,0,0,0,211
2021-03-30,0,221,0.0,10.0,0,0,0,211
2021-03-31,0,221,0.0,10.0,0,0,0,211
2021-04-01,0,221,0.0,10.0,0,0,0,211
2021-04-02,1,222,1.0,11.0,0,0,0,211
2021-04-03,0,222,0.0,11.0,0,0,0,211
2021-04-04,0,222,0.0,11.0,0,0,0,211
2021-04-05,1,223,0.0,10.0,0,0,2,213
2021-04-06,0,223,0.0,9.0,0,0,1,214
2021-04-07,2,225,2.0,11.0,0,0,0,214
2021-04-08,3,228,3.0,14.0,0,0,0,214
2021-04-09,1,229,1.0,15.0,0,0,0,214
2021-04-10,0,229,0.0,15.0,0,0,0,214
2021-04-11,0,229,0.0,15.0,0,0,0,214
