,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time
2021-01-01,3,77,3.0,31.0,0,0,0,47
2021-02-01,0,77,0.0,29.0,0,0,2,49
2021-03-01,0,77,0.0,29.0,0,0,0,49
2021-04-01,0,77,0.0,29.0,0,0,0,49
2021-05-01,0,77,0.0,29.0,0,0,0,49
2021-06-01,0,77,0.0,25.0,0,0,4,53
2021-07-01,0,77,0.0,25.0,0,0,0,53
2021-08-01,0,77,0.0,25.0,0,0,0,53
2021-09-01,0,77,0.0,25.0,0,0,0,53
2021-10-01,0,77,0.0,25.0,0,0,0,53
2021-11-01,0,77,0.0,25.0,0,0,0,53
2021-12-01,0,77,0.0,25.0,0,0,0,53
2021-01-13,0,77,2.0,27.0,0,0,2,55
2021-01-14,0,77,0.0,27.0,0,0,0,55
2021-01-15,0,77,0.0,26.0,0,0,1,56
2021-01-16,0,77,0.0,26.0,0,0,0,56
2021-01-17,0,77,,,0,0,0,56
2021-01-18,0,77,0.0,19.0,0,0,3,59
2021-01-19,0,77,0.0,19.0,0,0,0,59
2021-01-20,0,77,0.0,17.0,0,0,2,61
2021-01-21,0,77,0.0,17.0,0,0,0,61
2021-01-22,0,77,0.0,17.0,0,0,0,61
2021-01-23,0,77,0.0,17.0,0,0,0,61
2021-01-24,0,77,,,0,0,0,61
2021-01-25,0,77,0.0,11.0,0,0,6,67
2021-01-26,0,77,0.0,11.0,0,0,0,67
2021-01-27,0,77,,,0,0,0,67
2021-01-28,0,77,0.0,11.0,0,0,0,67
2021-01-29,0,77,0.0,11.0,0,0,0,67
2021-01-30,0,77,0.0,11.0,0,0,0,67
2021-01-31,7,84,7.0,18.0,0,0,0,67
2021-01-02,0,84,0.0,18.0,0,0,0,67
2021-02-02,0,84,0.0,18.0,0,0,0,67
2021-03-02,0,84,0.0,0.0,0,0,0,67
2021-04-02,0,84,0.0,18.0,0,0,0,67
2021-05-02,0,84,0.0,18.0,0,0,0,67
2021-06-02,0,84,0.0,18.0,0,0,0,67
2021-07-02,0,84,0.0,18.0,0,0,0,67
2021-08-02,0,84,0.0,18.0,0,0,0,67
2021-09-02,0,84,0.0,18.0,0,0,0,67
2021-10-02,0,84,0.0,18.0,0,0,0,67
2021-11-02,0,84,0.0,17.0,0,0,0,67
2021-12-02,0,84,0.0,17.0,0,0,0,67
2021-02-13,0,84,0.0,17.0,0,0,0,67
2021-02-14,0,84,0.0,17.0,0,0,0,67
2021-02-15,0,84,0.0,17.0,0,0,0,67
2021-02-16,0,84,0.0,17.0,0,0,0,67
2021-02-17,0,84,0.0,17.0,0,0,0,67
2021-02-18,0,84,0.0,13.0,0,0,4,71
2021-02-19,0,84,0.0,13.0,0,0,0,71
2021-02-20,0,84,0.0,13.0,0,0,0,71
2021-02-21,0,84,0.0,13.0,0,0,0,71
2021-02-22,0,84,0.0,13.0,0,0,0,71
2021-02-23,0,84,0.0,13.0,0,0,0,71
2021-02-24,0,84,0.0,12.0,0,0,1,72
2021-02-25,0,84,0.0,12.0,0,0,0,72
2021-02-26,0,84,0.0,12.0,0,0,0,72
2021-02-27,0,84,0.0,11.0,0,0,1,73
2021-02-28,0,84,0.0,11.0,0,0,0,73
2021-01-03,0,84,0.0,11.0,0,0,0,73
2021-02-03,0,84,0.0,10.0,0,0,1,74
2021-03-03,0,84,0.0,10.0,0,0,0,74
2021-04-03,0,84,0.0,10.0,0,0,0,74
2021-05-03,0,84,0.0,10.0,0,0,0,74
2021-06-03,0,84,0.0,0.0,0,0,0,74
2021-07-03,0,84,0.0,0.0,0,0,0,74
2021-08-03,0,84,0.0,0.0,0,0,0,74
2021-09-03,0,84,0.0,0.0,0,0,0,74
2021-10-03,0,84,0.0,0.0,0,0,0,74
2021-11-03,0,84,0.0,0.0,0,0,0,74
2021-12-03,0,84,0.0,0.0,0,0,0,74
2021-03-13,0,84,0.0,0.0,0,0,0,74
2021-03-14,0,84,0.0,0.0,0,0,0,74
2021-03-15,0,84,0.0,0.0,0,0,0,74
2021-03-16,0,84,0.0,0.0,0,0,0,74
2021-03-17,5,89,7.0,7.0,0,0,0,74
2021-03-18,0,89,0.0,5.0,0,0,0,74
2021-03-19,0,89,0.0,5.0,0,0,0,74
2021-03-20,0,89,0.0,5.0,0,0,0,74
2021-03-21,0,89,,,0,0,0,74
2021-03-22,0,89,0.0,5.0,0,0,0,74
2021-03-23,0,89,0.0,5.0,0,0,0,74
2021-03-24,0,89,0.0,5.0,0,0,0,74
2021-03-25,0,89,0.0,5.0,0,0,0,74
2021-03-26,0,89,0.0,5.0,0,0,0,74
2021-03-27,0,89,0.0,5.0,0,0,0,74
2021-03-28,0,89,0.0,5.0,0,0,0,74
2021-03-29,0,89,0.0,5.0,0,0,0,74
2021-03-30,0,89,0.0,5.0,0,0,0,74
2021-03-31,0,89,0.0,5.0,0,0,0,74
2021-01-04,0,89,0.0,5.0,0,0,0,74
2021-02-04,0,89,0.0,5.0,0,0,0,74
2021-03-04,0,89,0.0,5.0,0,0,0,74
2021-04-04,0,89,0.0,5.0,0,0,0,74
2021-05-04,0,89,0.0,4.0,0,0,1,75
2021-06-04,0,89,0.0,4.0,0,0,1,76
2021-07-04,0,89,0.0,4.0,0,0,0,76
2021-08-04,0,89,0.0,4.0,0,0,0,76
2021-09-04,0,89,0.0,4.0,0,0,0,76
2021-10-04,0,89,0.0,4.0,0,0,0,76
2021-11-04,0,89,0.0,4.0,0,0,0,76
2021-12-04,0,89,0.0,2.0,0,0,2,78
2021-04-13,0,89,0.0,2.0,0,0,0,78
2021-04-14,3,92,3.0,5.0,0,0,0,78
2021-04-15,3,95,3.0,8.0,0,0,0,78
2021-04-16,6,101,6.0,14.0,0,0,0,78
2021-04-17,6,107,6.0,20.0,0,0,0,78
2021-04-18,1,108,1.0,21.0,0,0,0,78
2021-04-19,0,108,0.0,21.0,0,0,0,78
2021-04-20,0,108,0.0,21.0,0,0,0,78
2021-04-21,2,110,2.0,23.0,0,0,0,78
2021-04-22,0,110,0.0,23.0,0,0,0,78
2021-04-23,2,112,2.0,25.0,0,0,0,78
2021-04-24,0,112,0.0,24.0,0,0,1,79
2021-04-25,6,118,6.0,30.0,0,0,0,79
2021-04-26,0,118,0.0,30.0,0,0,0,79
2021-04-27,2,120,2.0,32.0,0,0,0,79
2021-04-28,6,126,6.0,38.0,0,0,0,79
2021-04-29,1,127,1.0,39.0,0,0,0,79
2021-04-30,0,127,0.0,39.0,0,0,0,79
2021-01-05,0,127,0.0,39.0,0,0,0,79
2021-02-05,5,132,5.0,44.0,0,0,0,79
2021-03-05,5,137,3.0,47.0,0,0,2,81
2021-04-05,1,138,1.0,48.0,0,0,0,81
2021-05-05,0,138,0.0,48.0,0,0,0,81
2021-06-05,2,140,2.0,50.0,0,0,0,81
2021-07-05,0,140,0.0,50.0,0,0,0,81
2021-08-05,0,140,0.0,42.0,0,0,8,89
2021-09-05,0,140,0.0,42.0,0,0,0,89
2021-10-05,0,140,0.0,38.0,0,0,4,93
2021-11-05,0,140,0.0,38.0,0,0,0,93
2021-12-05,0,140,0.0,32.0,0,0,6,99
2021-05-13,0,140,0.0,32.0,0,0,0,99
2021-05-14,1,141,1.0,33.0,0,0,0,99
2021-05-15,0,141,0.0,33.0,0,0,0,99
2021-05-16,0,141,0.0,33.0,0,0,0,99
2021-05-17,1,142,1.0,34.0,0,0,0,99
2021-05-18,0,142,0.0,34.0,0,0,0,99
2021-05-19,0,142,0.0,33.0,0,0,0,99
2021-05-20,1,143,0.0,33.0,0,0,0,99
2021-05-21,0,143,0.0,33.0,0,0,0,99
2021-05-22,0,143,0.0,33.0,0,0,0,99
2021-05-23,0,143,0.0,16.0,0,0,0,99
2021-05-24,0,143,0.0,16.0,0,0,3,102
2021-05-25,0,143,0.0,16.0,0,0,0,102
2021-05-26,0,143,0.0,16.0,0,0,1,103
2021-05-27,0,143,0.0,9.0,0,0,0,103
2021-05-28,0,143,0.0,9.0,0,0,3,106
2021-05-29,0,143,0.0,9.0,0,0,0,106
2021-05-30,0,143,0.0,9.0,0,0,0,106
2021-05-31,0,143,0.0,9.0,0,0,3,109
2021-01-06,0,143,0.0,9.0,0,0,0,109
2021-02-06,0,143,0.0,9.0,0,0,2,111
2021-03-06,0,143,0.0,9.0,0,0,0,111
2021-04-06,0,143,0.0,9.0,0,0,0,111
2021-05-06,1,144,1.0,10.0,0,0,0,111
2021-06-06,0,144,0.0,10.0,0,0,1,112
2021-07-06,0,144,0.0,10.0,0,0,0,133
2021-08-06,0,144,0.0,9.0,0,0,0,133
2021-09-06,0,144,0.0,9.0,0,0,0,133
2021-10-06,0,144,0.0,9.0,0,0,0,133
2021-11-06,0,144,0.0,9.0,0,0,0,133
2021-12-06,0,147,0.0,9.0,0,0,0,133
2021-06-13,0,147,0.0,9.0,0,0,0,133
2021-06-14,1,147,0.0,9.0,0,0,3,133
2021-06-15,0,147,0.0,9.0,0,0,9,133
2021-06-16,1,147,1.0,10.0,0,0,2,133
2021-06-17,1,147,1.0,11.0,0,0,0,133
2021-06-18,0,147,0.0,11.0,0,0,0,133
2021-06-19,0,147,0.0,11.0,0,0,0,133
2021-06-20,0,147,0.0,11.0,0,0,0,133
2021-06-21,0,147,0.0,11.0,0,0,1,133
2021-06-22,0,147,,,0,0,0,133
2021-06-23,0,147,0.0,8.0,0,0,0,133
2021-06-24,5,152,6.0,14.0,0,0,0,133
2021-06-25,1,153,0.0,14.0,0,0,0,133
2021-06-26,2,155,2.0,16.0,0,0,0,133
2021-06-27,0,155,2.0,18.0,0,0,0,133
2021-06-28,3,158,1.0,19.0,0,0,0,133
2021-06-29,5,163,5.0,24.0,0,0,0,133
2021-06-30,0,163,0.0,24.0,0,0,0,133
2021-01-07,0,163,0.0,24.0,0,0,0,133
2021-02-07,5,168,5.0,29.0,0,0,0,133
2021-03-07,0,168,1.0,30.0,0,0,0,133
2021-04-07,0,168,13.0,43.0,0,0,0,133
2021-05-07,10,178,10.0,53.0,0,0,0,133
